
MRKR 0.2278 2.22 2.42 2.62 2.06
AAME 0.2093 5.49 5.7 5.12 6.74
CLVS 0.2030 6.40 7.86 8.95 6.36
HOFV 0.8139 7.25 5.60 7.64 5.51
DLON 0.5657 29.02 19.16 32.5 18.53
APTO 0.4387 5.29 6.1 7.2 5.15
ALYA 0.3559 3.19 2.53 3.4 2.38
ZKIN 0.3191 14.59 11.22 14.6 10.86
APOP 0.6275 5.68 4.77 7.15 4.72
HWCC 0.3737 5.24 5.23 5.68 5.20
IMMP 0.2167 3.19 3.68 4.16 3.01
CIDM 0.1914 1.93 1.92 2.13 1.8
FSTX 0.1739 13.15 13.84 15.5 13.1
EEIQ 3.4575 17.86 15.5 35.2 13.5
WAFU 0.8084 8.61 12.66 21 8.5
ATNF 0.6729 9.87 6.96 10.6 6.72
FEDU 0.3134 1.77 1.8 2.64 1.61
MX 0.3082 26.55 26.01 26.7 25.25
RKDA 0.4378 3.35 2.755 3.47 2.72
TAOP 0.2565 12.6 9.41 13.20 9.12
CLRO 0.1786 3.64 3.6 4.11 3.28
YVR 0.1662 4 4.19 5.19 3.82
PRPH 0.1611 7.27 7.4 7.88 6.65
UPC 0.3317 5.34 5.25 7.22 5.07
FTFT 0.2935 8.01 5.53 8.45 5.31
SNOA 0.2638 9.39 8.8 9.89 8.2
ACY 0.2085 4.2 9.7 15.81 4.12
JAGX 0.1944 2.157 1.98 2.16 1.89
CEMI 0.5653 5.52 5.64 6.25 5.02
NNOX 0.5381 62.61 48.55 64 47.26
BPTH 0.3636 9.73 7.63 10.17 7.26
IGIC 0.3211 10.9 7.88 11.05 7.78
NAOV 0.2549 1.28 1.14 1.42 1.12
CELC 0.5472 22.08 21.6 24.25 19.04
AFMD 0.3016 10.27 9.74 10.7 9.23
GLSI 0.2529 63.01 53.6 69.77 50.6
GURE 0.2022 5.60 5.09 5.63 4.85
TENX 0.1742 2.09 2.08 2.47 2.03
KELYB 0.2372 33.40 28.78 35.07 28.01
TOAP 0.2093 7.49 6.32 7.52 5.95
ASRT 0.1366 0.589 0.5304 0.61 0.5211
KXIN 0.1350 2.69 2.56 2.72 2.42
KINS 0.1334 8.98 8.61 8.98 8
SYPR 0.2989 3.62 4.47 5.82 3.41
IMCC 0.1923 6.01 5.88 6.01 5.25
SKX 0.1344 50.13 51.90 3.14 49.71
EBSB 0.1263 20.05 21.92 22.85 20.05
SLAB 0.1199 162.28 154.6 162.28 152.45
PFPT 0.3215 174 172.70 174.25 172.24
SJ 0.2701 12.3 10.9 12.62 10.52
IMCC 0.2194 7 5.78 7 5.5
OCGN 0.1485 11.06 11.59 12.6 10.78
CZNC 0.1426 24.5 24.86 25 24.36
DMTK 0.2476 51.45 45.74 52 44.47 
FCBP 0.2140 29.5 30.92 31.53 29.50
RIBT 0.2043 1.1 1.18 1.83 1.1
MNMD 0.2026 5.69 4.02 5.77 3.75
ALDX 0.1611 12.89 14.85 15.95 12.79
CHMA 0.4014 3.97 3.98 4.47 3.68
ATNX 0.3639 5.07 4.55 5.75 4.445
IBIO 0.2132 1.56 1.48 1.95 1.43
DPW 0.2057 3.2 2.82 3.42 2.38
VERU 0.2023 10.46 8.79 11.18 8.62
NBRV 0.4459 2.14 1.51 2.32 1.49
PIRS 0.3298 5.01 3.39 5.09 3.34
ITP 0.2805 0.588 0.4894 0.59 0.477
PLDB 0.1846 13.75 14.40 14.88 13.4 
INSE 0.1376 10.68 11.25 11.49 10.57
APRE 0.469 7.31 5.38 7.8 5.33
KIN 0.448 9.18 9.23 9.27 9.18
AUVI 0.3289 12 10.6 12.15 9.60
EXFO 0.2226 7.17 6.04 7.24 5.95
GTEC 0.1881 10.96 9.19 11.24 8.51
CNSP 0.3284 2.63 2.061 2.68 1.94
SPRT 0.9508 38.64 26.33 59.69 26.33
NNA 0.4 2.95 3.61 3.77 2.88
NURO 0.3109 13.03 16.51 19.74 12.05
PRFX 0.2403 3.45 2.92 3.47 2.8
BBIG 0.198 3.53 5.3 5.97 3.35
MIRN 0.8594 10.58 9.21 10.88 8.43
AEMD 0.2921 4.88 5.06 5.99 4.68
VBNK 0.2010 10.97 10.5 14.3 10.5
POAI 0.1856 1.15 1.13 1.18 1.08
ONTX 0.1592 5.67 6.3 6.77 5.51
ZIVO 0.9391 6.7 5.45 6.98 5.18
UFAB 0.4008 3.52 3.45 4.09 3.13
MDP 0.2840 57.56 56.3 58.83 54.55
AEHR 0.1893 14 15.82 16.75 13.54
VTVT 0.1808 2.09 1.83 2.17 1.77
ADTX 0.2354 1.9 1.7 2.19 1.61
USEG 0.1547 5.45 4.84 5.57 4.56
WBX 0.1326 9.49 9.4 10.1 9.09
AGFY 0.1321 20.9 18.61 21.83 18.06
LGHL 0.1217 2.13 2.1 2.15 1.9
VYGR 0.6154 3.99 3.87 4.12 3.49
BTBT 0.1449 11.86 11.22 12.42 10.9
ACER 0.1285 2.8 2.9 3.04 2.63
NRBO 0.1271 2.48 2.1 2.48 2.08
RFL 0.1101 35.47 34.12 37.09 32.67
MRUS 0.458 29.15 27.49 29.77 24.78
CEI 0.3594 1.23 1.78 1.88 1.2
RENN 0.2824 16.7 16.6 17.65 16
TRI 0.28 112.48 113.64 114.47 112.48
CYRN 0.2624 0.604 0.546 0.6379 0.5242
TSC 0.2932 29.34 31 31.18 29.27
DWAC 0.2781 12.74 45.5 51.9 12.62
DUO  0.2091 1.25 1.35 1.44 1.14
HX  0.1638 21.51 9.14 22.36 8.99
