
PBHC -0.897 14.5 14.9 15.26 14.9 
INO -0.2771 6.6 6.85 7.04 6.49
EDAP -0.1562 7.2 7.36 7.63 7.05
QDEL -0.1328 105.93 116.01 116.15 105.93
CRTX -0.1084 38.52 38.26 39.13 37.23
BTX -0.0865 11.48 16.16 18.87 11.35
RVPH -0.2080 6.9 7.3 7.49 6.72
RNWK -0.1965 2.75 2.56 2.751 2.5
CYCN -0.1795 2.548 2.56 2.75 2.47
NSPR -0.1619 6.01 6.92 7.32 5.91
PTIX -0.1509 3.088 2.24 3.088 2.2
ESPR -0.2833 18.39 20.01 20.44 18.01
COCP -0.2710 1.57 1.47 1.61 1.42
INTZ -0.2708 10.16 10.25 10.95 9.72
MRCY -0.2423 52.74 57.69 59.49 52.4
LEDS -0.2256 4.52 5.5 6.17 4.49
BRPA -0.1602 29.56 27.52 42 26.30
TAL -0.1116 42.29 42.93 46.17 42.25
AUTO -0.975 2.79 2.77 2.82 2.7
ONTX -0.950 9.8 9.23 10.84 9.06
MN -0.845 7.92 7.91 8.41 7.84 
LRMR -0.4167 7.9 8.99 9.38 7 
LDTZ -0.1977 4.21 4.51 4.62 4.06
LPCN -0.1971 1.12 1.21 1.09 1.24
GOTU -0.1594 16.89 18.34 19.23 16.13
TVTX -0.1549 14.76 15.39 15.64 14.48
SAVA -0.2766 51.24 58.34 65.09 49.29 
VNTR -0.1999 3.19 3.34 3.42 3.15
APLT -0.1789 14.5 15.46 15.64 13.67
OLLI -0.1551 65.61 72.54 73.94 65.32
AADI -0.14 30 26 30 23.28
RJF -0.3248 86.55 86.92 87.75 86.51
SMMT -0.2068 5.15 5.18 5.48 4.71
INNV -0.2017 9.45 8.75 9.69 8.5
RWLK -0.1660 2.16 1.79 2.25 1.78
GBNH -0.1607 8.08 7.4 8.08 7.34
IHT -0.1504 4.17 4.45 4.98 4.07
MRM -0.15 11.11 11.35 12.49 10.1
ONTX -0.1487 4.32 4.04 4.399 3.94
FEDU -0.1398 0.7367 0.8 0.81 0.72
AIHS -0.1283 0.7201 0.68 0.78 0.6533
UPH -0.3333 1.74 1.67 1.79 1.63
CMTL -0.1478 21.6 22.63 24.57 21.6
AGIO -0.1238 45.48 43.93 45.56 43.58
VERX -0.1187 18.52 18.65 18.87 18.07
MXC -0.1161 15.10 12.21 16.90 11.31
CEI -0.1765 1.26 0.9085 1.33 0.8725
MANU -0.1264 17.22 16.94 17.36 16.57
DVD -0.116 2.53 2.51 2.55 2.5
REDU -0.1103 0.6661 0.709 0.723 0.65
PALT -0.1037 7.41 6.93 8.15 6.8
OSMT -0.3889 1.87 1.91 1.99 1.83
PRLD -0.1835 24.6 17.43 24.6 17.15
TPTX -0.1124 53.33 46.55 54.51 42.51
VNDA -0.1091 18.05 18.03 18.37 17.91
LW -0.1043 55.2 58.2 61.02 54.5
VEV -0.2056 3.99 4.25 4.26 3.9
TCBI -0.1439 55.6 59.86 61.55 55.12
PHCF -0.1165 2.21 1.94 3.29 1.88
EFX -0.0887 245.55 255.47 262.95 240.11
ADMA -0.0811 1.01 1.21 1.27 1.01
DOCU -0.3387 154.8 135.09 155.4 131.51
CELZ -0.3333 3.2 2.21 3.2 2.03
ESPR -0.3222 6.09 5.25 6.10 4.96
ASAN -0.2221 70.69 66.98 72.49 63.85
SWBI -0.1990 18.35 16.33 18.67 16.00
MOBQ -0.4915 3.1 3.2 3.25 2.83
RETA -0.4249 31.05 29.11 37.1 28.21
TGLS -0.3858 20.9 21.56 23 18.1
CCNC -0.3176 1.17 1.2 1.23 1.11
XAIR -0.2309 8.16 8.44 8.68 7.77
EVBG -0.4103 68.44 63 68.75 57.58
ANGN -0.2264 2.71 2.61 2.754 2.44
AGMH -0.1926 6.96 5.36 6.99 5.31
AOUT -0.1656 17.6 18.21 18.97 17.50
MRNA -0.1365 235 257.06 261.97 233.51
INNV -0.3479 5.4 5.31 5.98 3.46
SCPL -0.1784 12.7 13.49 13.66 12.25
BVXV -0.1610 2.45 2.78 2.95 2.43
QDEL -0.1551 140.3 137.39 144.4 135.15
ZME -0.1498 8.11 6.05 8.11 5.39
APLT -0.2737 6.5 6.22 6.75 5.99
AGE -0.1606 0.9357 0.95 1.05 0.87
CNHI -0.1276 16.98 16.74 17.13 16.42
NRTB -0.127 8.77 9.43 10.1 8.16
SPRC -0.1091 5.79 6.73 7.08 5.96
SNAX -0.1283 3.92 3.95 4.144 3.55 
USIO -0.1126 4.31 4.36 4.6 4.31
CTK -0.1 0.63 0.6143 0.7094 0.59
KPRX -0.1 1.51 1.51 1.79 1.42
CNX -0.0905 14.04 13.75 14.09 13.74
SYTA -0.4427 1.8 1.87 1.95 1.78
ODT -0.3511 0.85 1.09 1.18 0.85
CHNR -0.181 0.695 1.06 1.06 0.6950
DBGI -0.1535 2.233 2.31 2.356 2.15
DOGZ -0.1261 2.91 3.44 4.52 2.5
DNLI -0.1943 30.89 33.86 35.51 30.25 
HCI -0.1716 70.88 73.52 78.03 70.88
PME -0.1254 0.5842 0.61 0.63 0.5512
SPCE -0.1172 10.92 10.03 10.99 10.02
ECOR -0.1131 0.7716 0.7650 0.79 0.72
ELMS -0.3453 3.7 2.71 4.03 2.63
LOGC -0.34 1.008 0.6675 1.008 0.635 
DT -0.2608 41.6 46.16 26.5 41.01
PYPL -0.2044 139.89 132.57 139.9 129.01 
LFVN -0.2034 5.27 5.33 5.62 5.25 0 0 0 0 1 1 
APRN -0.3104 1.17 1.18 1.29 1.13 0 0 0 0 0 1 8130000
AIRS -0.2939 3.23 3.28 3.67 3.23 0 0 0 0 0 1 164660
RDHL -0.2630 0.47 0.5359 0.5579 0.45 0 0 0 0 0 0 2910000
RLYB -0.2507 5.01 5.59 5.75 4.86 0 0 0 0 1 1 80080
TTCF -0.2250 3.4 3.75 3.827 3.22 0 0 0 0 0 1 765660 
